Node ID,x (km),y (km),load (MW),typology
55,-0.253164557,-1.544303797,0.36,SS
56,-1.164556962,0.278481013,0.02,SS
57,0.544303797,-0.936708861,0.26,SS
58,0.544303797,0.025316456,0.03,SS
59,-0.443037975,-1.037974684,0.94,SS
60,-1.430379747,2,0.69,SS
61,0.35443038,1.088607595,0.63,SS
62,-0.405063291,0.481012658,0.48,SS
63,0.658227848,1.848101266,0.56,SS
64,0.46835443,-0.734177215,0.02,SS
65,-0.556962025,1.696202532,0.28,SS
66,-0.063291139,0.430379747,0.41,SS
67,-1.658227848,-0.53164557,0.28,SS
68,-0.898734177,1.443037975,0.09,SS
69,-1.924050633,1.64556962,0.78,SS
70,-0.632911392,-0.683544304,0.36,SS
71,0.202531646,-1.392405063,0.4,SS
72,-0.974683544,0.936708861,0.28,SS
73,-1.962025316,-0.379746835,0.24,SS
74,-1.316455696,0.734177215,0.34,SS
75,0.012658228,-0.481012658,0.75,SS
76,0.772151899,-1.341772152,0.43,SS
77,-1.088607595,0.17721519,0.3,SS
78,-0.936708861,1.341772152,0.15,SS
79,0.810126582,0.379746835,0.52,SS
80,-1.620253165,1.493670886,0.28,SS
81,1.231884058,2.565217391,0.19,SS
82,-3.115942029,-2.913043478,0.91,SS
83,3.260869565,-0.826086957,0.26,SS
84,-3.115942029,-0.47826087,0.47,SS
85,-5,-1.869565217,0.31,SS
86,1.231884058,-0.826086957,0.14,SS
87,3.985507246,-1.260869565,0.14,SS
88,5,2.130434783,0.31,SS
89,4.710144928,0.652173913,0.08,SS
90,-5,-1.260869565,0.55,SS
91,-2.971014493,-1.347826087,0.31,SS
92,-4.565217391,-2.826086957,0.68,SS
93,-3.695652174,0.130434783,0.71,SS
94,-3.985507246,1,0.73,SS
95,3.115942029,-1.347826087,0.05,SS
96,-3.985507246,-0.826086957,0.3,SS
97,-2.971014493,0.826086957,0.98,SS
98,2.826086957,-0.739130435,0.56,SS
99,-3.260869565,1.956521739,0.91,SS
100,-3.84057971,-0.652173913,1.42,SS
101,-2.246376812,-2.130434783,0.03,SS
102,-2.101449275,-2.47826087,0.56,SS
103,3.405797101,-0.913043478,1.27,SS
104,4.565217391,-1.956521739,1.26,SS
105,-3.695652174,0.826086957,0.92,SS
106,-3.84057971,1.260869565,0.43,SS
107,3.695652174,-2.130434783,0.05,SS
108,-3.84057971,2.565217391,1.04,SS
109,-4.420289855,1.782608696,0.62,SS
110,3.985507246,-2.47826087,0.02,SS
111,1.956521739,-0.826086957,0.96,SS
112,3.695652174,1.956521739,0.24,SS
113,3.115942029,1.782608696,0.47,SS
114,4.855072464,-2.47826087,0.01,SS
115,4.275362319,-0.913043478,0.67,SS
116,4.710144928,1.347826087,0.76,SS
117,-5,-2.130434783,0.09,SS
118,-3.84057971,-2.47826087,1.28,SS
119,-4.420289855,2.913043478,0.55,SS
120,-2.101449275,-1.434782609,0.18,SS
121,3.985507246,2.565217391,0.56,SS
122,-3.84057971,0.217391304,0.12,SS
123,-3.695652174,-0.652173913,0.11,SS
124,-4.565217391,2.130434783,0.57,SS
125,-3.115942029,2.304347826,0.43,SS
126,-4.565217391,-2.47826087,0.01,SS
127,1.956521739,-2.304347826,0.5,SS
128,-2.246376812,1.869565217,0.21,SS
129,3.84057971,1.434782609,0.76,SS
130,-3.260869565,-1.608695652,0.69,SS
131,-5,1.347826087,0.13,SS
132,-4.420289855,-1.956521739,0.18,SS
133,-0.652173913,2.913043478,0.69,SS
134,3.260869565,-2.304347826,0.36,SS
135,0.507246377,3,1.01,SS
136,4.855072464,-1.434782609,0.32,SS
137,1.666666667,-1.347826087,0.46,SS
138,-2.246376812,-2.826086957,0.56,SS
139,1.52173913,-0.565217391,0.09,SS
140,3.405797101,-1.956521739,0.56,SS
141,-1.376811594,-2.565217391,0.03,SS
142,-4.420289855,-0.826086957,0.91,SS
143,0.072463768,-2.826086957,0.22,SS
144,-2.101449275,-1.347826087,0.37,SS
145,1.811594203,0.826086957,0.24,SS
146,2.536231884,-1.347826087,0.46,SS
147,-4.420289855,0.826086957,0.45,SS
148,-4.565217391,-2.652173913,0.98,SS
149,-2.536231884,0.391304348,0.43,SS
150,3.84057971,-0.217391304,0.87,SS
151,-0.374166926,-2,0,PS
152,-2,1.251666148,0,PS
153,-2.29027821,-1.374166926,0,PS
154,3.129165371,-3,0,PS
