Node ID,x (km),y (km),load (MW),typology
186,2.697841727,-1.712230216,0.99,SS
187,0.129496403,1.920863309,0.3,SS
188,0.482014388,2.820143885,1.07,SS
189,-3.647482014,0.625899281,0.62,SS
190,2.697841727,-2,0.43,SS
191,-3.647482014,0.014388489,0.84,SS
192,2.748201439,-0.776978417,0.01,SS
193,-0.525179856,-1.568345324,1.09,SS
194,1.942446043,2.28057554,0.62,SS
195,-2.18705036,-0.309352518,0.3,SS
196,-3.395683453,2.712230216,0.37,SS
197,2.043165468,1.561151079,0.28,SS
198,-3.043165468,-0.597122302,1.03,SS
199,2.597122302,0.194244604,1.22,SS
200,-3.697841727,1.525179856,0.8,SS
201,0.167777432,-1.5,0,PS
202,-2,0.125833074,0,PS
203,-1.92468587,1.70591809,0,PS
204,1.188285326,-2,0,PS
205,-4,-2,0,PS
